new_column,ts_code,trade_date,open,high,low,close,vol
0,META,2018-09-06,166.98,166.98,160.0,162.53,41514834
1,META,2018-09-07,160.31,164.63,160.16,163.04,24300600
2,META,2018-09-10,163.51,165.01,162.16,164.18,20197680
3,META,2018-09-11,163.94,167.19,163.72,165.94,20457088
4,META,2018-09-12,163.25,164.49,161.8,162.0,24078118
5,META,2018-09-13,162.0,163.32,160.86,161.36,25453775
6,META,2018-09-14,161.72,162.84,160.34,162.32,21770405
7,META,2018-09-17,161.92,162.06,159.77,160.58,21005321
8,META,2018-09-18,159.39,161.76,158.87,160.3,22465236
9,META,2018-09-19,160.08,163.44,159.48,163.06,19628996
10,META,2018-09-20,164.5,166.45,164.47,166.02,18936038
11,META,2018-09-21,166.64,167.25,162.81,162.93,45994800
12,META,2018-09-24,161.03,165.7,160.88,165.41,19222775
13,META,2018-09-25,161.99,165.59,161.15,164.91,27622806
14,META,2018-09-26,164.3,169.3,164.21,166.95,25252231
15,META,2018-09-27,167.55,171.77,167.21,168.84,27266856
16,META,2018-09-28,168.33,168.79,162.56,164.46,34265638
17,META,2018-10-01,163.03,165.88,161.26,162.44,26407677
18,META,2018-10-02,161.58,162.28,158.67,159.33,36030977
19,META,2018-10-03,160.0,163.66,159.53,162.43,23109456
20,META,2018-10-04,161.46,161.46,157.35,158.85,25739635
21,META,2018-10-05,159.21,160.9,156.2,157.33,25744047
22,META,2018-10-08,155.54,158.34,154.39,157.25,24045968
23,META,2018-10-09,157.69,160.59,157.42,157.9,18844425
24,META,2018-10-10,156.82,157.69,151.31,151.38,30609970
25,META,2018-10-11,150.13,154.81,149.16,153.35,35338901
26,META,2018-10-12,156.73,156.89,151.3,153.74,25293492
27,META,2018-10-15,153.32,155.57,152.55,153.52,15433521
28,META,2018-10-16,155.4,159.46,155.01,158.78,19180095
29,META,2018-10-17,159.56,160.49,157.95,159.42,17592003
30,META,2018-10-18,158.51,158.66,153.28,154.92,21675084
31,META,2018-10-19,155.86,157.35,153.55,154.05,19761347
32,META,2018-10-22,154.76,157.34,154.46,154.78,15424658
33,META,2018-10-23,151.22,154.77,150.85,154.39,19095032
34,META,2018-10-24,154.28,154.65,145.6,146.04,27744597
35,META,2018-10-25,147.73,152.21,147.0,150.95,22105696
36,META,2018-10-26,145.82,149.0,143.8,145.37,31303341
37,META,2018-10-29,148.5,148.83,139.03,142.09,31336784
38,META,2018-10-30,139.94,146.64,139.74,146.22,50528278
39,META,2018-10-31,155.0,156.4,148.96,151.79,60101251
40,META,2018-11-01,151.52,152.75,149.35,151.75,25640786
41,META,2018-11-02,151.8,154.13,148.96,150.35,24708695
42,META,2018-11-05,150.1,150.19,147.44,148.68,15969849
43,META,2018-11-06,149.31,150.97,148.0,149.94,16667124
44,META,2018-11-07,151.57,153.01,149.83,151.53,21877372
45,META,2018-11-08,150.49,150.94,146.74,147.87,24145814
46,META,2018-11-09,146.75,147.76,144.07,144.96,17326898
47,META,2018-11-12,144.48,145.04,140.49,141.55,18542123
48,META,2018-11-13,142.0,144.88,141.62,142.16,15141710
49,META,2018-11-14,143.7,145.58,141.55,144.22,22068384
50,META,2018-11-15,142.33,144.84,140.83,143.85,30320280
51,META,2018-11-16,141.07,141.77,137.77,139.53,37250560
52,META,2018-11-19,137.61,137.75,131.21,131.55,44362729
53,META,2018-11-20,127.03,134.16,126.85,132.43,41939475
54,META,2018-11-21,134.4,137.19,134.13,134.82,25469735
55,META,2018-11-23,133.65,134.5,131.2551,131.73,11886128
56,META,2018-11-26,133.0,137.0,132.78,136.38,24263640
57,META,2018-11-27,135.75,136.61,133.71,135.0,20750318
58,META,2018-11-28,136.28,136.79,131.85,136.76,29847505
59,META,2018-11-29,135.92,139.99,135.66,138.68,24238713
60,META,2018-11-30,138.26,140.97,137.36,140.61,25732577
61,META,2018-12-03,143.0,143.68,140.76,141.09,24819226
62,META,2018-12-04,140.73,143.39,137.16,137.93,30307400
63,META,2018-12-06,133.82,139.7,133.67,139.63,28218145
64,META,2018-12-07,139.25,140.87,136.66,137.42,21195460
65,META,2018-12-10,139.6,143.05,139.01,141.85,26422173
